DEPTH,GR7-3,GR7-8,GRA-53
1287.44,28.84,,
1287.94,29.70,,
1288.44,26.00,,
1288.94,28.05,,
1289.44,28.64,,
1289.94,30.98,,
1290.44,27.84,,
1290.94,26.73,,
1291.44,25.64,,
1291.94,26.23,,
1292.44,27.88,,
1292.94,29.20,,
1293.44,29.13,,
1293.94,27.42,,
1294.44,26.84,,
1294.94,26.84,,
1295.44,26.00,,
1295.94,25.53,,
1296.44,27.33,,
1296.94,29.08,,
1297.44,30.47,,
1297.94,27.55,,
1298.44,24.92,,
1298.94,25.72,,
1299.44,27.70,,
1299.94,29.95,,
1300.44,28.20,,
1300.94,29.31,,
1301.44,29.31,,
1301.94,30.03,,
1302.44,28.39,,
1302.94,27.00,,
1303.44,25.19,,
1303.94,24.30,,
1304.44,25.17,,
1304.94,26.34,,
1305.44,27.80,,
1305.94,27.25,,
1306.44,25.50,,
1306.94,25.84,,
1307.44,28.20,,
1307.94,29.72,,
1308.44,29.97,,
1308.94,27.91,,
1309.44,27.23,,
1309.94,24.31,,
1310.44,24.28,,
1310.94,22.88,,
1311.44,22.59,,
1311.94,23.13,,
1312.44,23.13,,
1312.94,24.27,,
1313.44,24.69,,
1313.94,25.88,,
1314.44,25.61,,
1314.94,24.94,,
1315.44,22.30,,
1315.94,22.83,,
1316.44,20.81,,
1316.94,22.58,,
1317.44,23.16,,
1317.94,24.31,,
1318.44,27.78,,
1318.94,26.42,,
1319.44,27.08,,
1319.94,23.08,,
1320.44,24.48,,
1320.94,22.41,,
1321.44,23.50,,
1321.94,23.48,,
1322.44,25.16,,
1322.94,26.56,,
1323.44,28.48,,
1323.94,28.73,,
1324.44,28.48,,
1324.94,28.59,,
1325.44,30.11,,
1325.94,30.09,,
1326.44,26.92,,
1326.94,24.88,,
1327.44,24.89,,
1327.94,26.86,,
1328.44,25.19,,
1328.94,24.02,,
1329.44,22.30,,
1329.94,24.86,,
1330.44,25.22,,
1330.94,23.27,,
1331.44,23.00,,
1331.94,22.39,,
1332.44,23.50,,
1332.94,25.72,,
1333.44,26.31,,
1333.94,30.27,,
1334.44,28.30,,
1334.94,26.58,,
1335.44,23.17,,
1335.94,24.64,,
1336.44,26.41,,
1336.94,29.95,,
1337.44,28.78,,
1337.94,28.17,,
1338.44,24.63,,
1338.94,21.98,,
1339.44,22.58,,
1339.94,24.31,,
1340.44,26.91,,
1340.94,27.70,,
1341.44,27.70,,
1341.94,29.53,,
1342.44,29.63,,
1342.94,28.22,,
1343.44,26.98,,
1343.94,26.05,,
1344.44,26.25,,
1344.94,24.50,,
1345.44,25.92,,
1345.94,25.34,,
1346.44,27.59,,
1346.94,27.31,,
1347.44,27.92,,
1347.94,27.72,,
1348.44,25.48,,
1348.94,25.25,,
1349.44,25.28,,
1349.94,25.25,,
1350.44,26.64,,
1350.94,25.50,,
1351.44,26.66,,
1351.94,25.52,,
1352.44,24.63,,
1352.94,26.09,,
1353.44,27.03,,
1353.94,26.50,,
1354.44,23.61,,
1354.94,26.42,,
1355.44,26.92,,
1355.94,28.92,,
1356.44,27.16,,
1356.94,27.70,,
1357.44,26.25,,
1357.94,23.39,,
1358.44,23.11,,
1358.94,24.28,,
1359.44,26.05,,
1359.94,23.55,,
1360.44,24.67,,
1360.94,23.45,,
1361.44,24.59,,
1361.94,25.36,,
1362.44,27.08,,
1362.94,30.19,,
1363.44,27.67,,
1363.94,25.41,,
1364.44,22.33,,
1364.94,23.84,,
1365.44,24.47,,
1365.94,27.67,,
1366.44,28.77,,
1366.94,31.30,,
1367.44,31.50,,
1367.94,30.06,,
1368.44,26.88,,
1368.94,26.30,,
1369.44,26.53,,
1369.94,28.80,,
1370.44,27.66,,
1370.94,28.05,,
1371.44,25.53,,
1371.94,25.27,,
1372.44,24.11,,
1372.94,25.48,,
1373.44,25.13,,
1373.94,26.27,,
1374.44,26.88,,
1374.94,30.33,,
1375.44,29.45,,
1375.94,29.20,,
1376.44,29.27,,
1376.94,27.88,,
1377.44,31.33,,
1377.94,30.72,,
1378.44,34.38,,
1378.94,30.89,,
1379.44,31.45,,
1379.94,31.17,,
1380.44,34.03,,
1380.94,33.44,,
1381.44,34.56,,
1381.94,34.06,,
1382.44,32.97,,
1382.94,31.61,,
1383.44,32.13,,
1383.94,36.06,,
1384.44,36.03,,
1384.94,35.94,,
1385.44,33.44,,
1385.94,31.95,,
1386.44,32.84,,
1386.94,32.22,,
1387.44,36.91,,
1387.94,38.50,,
1388.44,40.56,,
1388.94,40.28,,
1389.44,40.97,,
1389.94,41.50,,
1390.44,41.38,,
1390.94,39.69,,
1391.44,39.38,,
1391.94,42.78,,
1392.44,45.06,,
1392.94,46.72,,
1393.44,44.56,,
1393.94,42.06,,
1394.44,43.97,,
1394.94,44.25,,
1395.44,48.22,,
1395.94,46.97,,
1396.44,47.44,,
1396.94,42.91,,
1397.44,42.69,,
1397.94,40.94,,
1398.44,40.63,,
1398.94,39.28,,
1399.44,37.66,,
1399.94,37.13,,
